work_year,experience_level,exp_grade,job_title,job_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,comp_size_grade,usd_salary_zscore
2020,SE,3,Machine Learning Engineer,Engineer,150000,USD,150000,US,50,US,L,3,0.5262649507393687
2020,EN,1,Data Analyst,Analyst,72000,USD,72000,US,100,US,L,3,-0.5973731837314162
2020,SE,3,Lead Data Scientist,Scientist,190000,USD,190000,US,100,US,S,1,1.1024896350833608
2020,MI,2,Business Data Analyst,Analyst,135000,USD,135000,US,100,US,L,3,0.3101806941103716
2020,MI,2,Lead Data Analyst,Analyst,87000,USD,87000,US,100,US,L,3,-0.38128892710241913
2020,MI,2,Data Analyst,Analyst,85000,USD,85000,US,100,US,L,3,-0.41010016131961874
2020,MI,2,Lead Data Engineer,Engineer,56000,USD,56000,PT,100,US,M,2,-0.8278630574690131
2020,MI,2,BI Data Analyst,Analyst,98000,USD,98000,US,0,US,M,2,-0.22282713890782124
2020,EN,1,Big Data Engineer,Engineer,70000,USD,70000,US,100,US,L,3,-0.6261844179486158
2020,SE,3,Data Scientist,Scientist,60000,EUR,68428,GR,100,US,L,3,-0.6488300480433348
2020,MI,2,Data Science Consultant,Consultant,103000,USD,103000,US,100,US,L,3,-0.15079905336482222
2020,EN,1,Machine Learning Engineer,Engineer,250000,USD,250000,US,50,US,L,3,1.966826661599349
2020,EN,1,Machine Learning Engineer,Engineer,138000,USD,138000,US,100,US,S,1,0.353397545436171
2020,MI,2,Data Scientist,Scientist,45760,USD,45760,PH,100,US,S,1,-0.9753765766610751
2020,MI,2,Data Engineer,Engineer,106000,USD,106000,US,100,US,L,3,-0.1075822020390228
2020,SE,3,Data Engineer,Engineer,188000,USD,188000,US,100,US,L,3,1.0736784008661613
2020,MI,2,Data Scientist,Scientist,105000,USD,105000,US,100,US,L,3,-0.1219878191476226
2020,EN,1,Data Analyst,Analyst,91000,USD,91000,US,100,US,L,3,-0.3236664586680199
2020,MI,2,Data Scientist,Scientist,118000,USD,118000,US,100,US,M,2,0.06528520326417488
2020,SE,3,Data Scientist,Scientist,120000,USD,120000,US,50,US,L,3,0.09409643748137449
2020,MI,2,Data Scientist,Scientist,138350,USD,138350,US,100,US,M,2,0.35843951142418096
2020,MI,2,Data Engineer,Engineer,110000,USD,110000,US,100,US,L,3,-0.04995973360462357
2020,MI,2,Data Engineer,Engineer,130800,USD,130800,ES,100,US,M,2,0.2496771022542524
2020,SE,3,Data Science Manager,Manager/Executive,190200,USD,190200,US,100,US,M,2,1.105370758505081
2020,EN,1,Data Scientist,Scientist,105000,USD,105000,US,100,US,S,1,-0.1219878191476226
2021,EX,4,BI Data Analyst,Analyst,150000,USD,150000,IN,100,US,L,3,0.5262649507393687
2021,EX,4,Head of Data,Manager/Executive,235000,USD,235000,US,100,US,L,3,1.7507424049703522
2021,MI,2,BI Data Analyst,Analyst,100000,USD,100000,US,100,US,M,2,-0.19401590469062163
2021,EN,1,Data Analyst,Analyst,80000,USD,80000,US,100,US,M,2,-0.4821282468626178
2021,MI,2,Data Engineer,Engineer,140000,USD,140000,US,100,US,L,3,0.38220877965337063
2021,MI,2,Data Analytics Engineer,Engineer,110000,USD,110000,US,100,US,L,3,-0.04995973360462357
2021,SE,3,Lead Data Analyst,Analyst,170000,USD,170000,US,100,US,L,3,0.8143772929113648
2021,SE,3,Data Analyst,Analyst,80000,USD,80000,BG,100,US,S,1,-0.4821282468626178
2021,SE,3,Lead Data Engineer,Engineer,276000,USD,276000,US,0,US,L,3,2.341372706422944
2021,EN,1,Computer Vision Software Engineer,Engineer,70000,USD,70000,US,100,US,M,2,-0.6261844179486158
2021,MI,2,Computer Vision Software Engineer,Engineer,81000,EUR,95746,DE,100,US,S,1,-0.25529739987060523
2021,MI,2,Data Analyst,Analyst,75000,USD,75000,US,0,US,L,3,-0.5541563324056168
2021,SE,3,Data Engineer,Engineer,150000,USD,150000,US,100,US,L,3,0.5262649507393687
2021,MI,2,BI Data Analyst,Analyst,11000000,HUF,36259,HU,50,US,L,3,-1.112244344809882
2021,MI,2,Data Analyst,Analyst,62000,USD,62000,US,0,US,L,3,-0.7414293548174143
2021,MI,2,Data Scientist,Scientist,73000,USD,73000,US,0,US,L,3,-0.5829675666228165
2021,SE,3,Data Engineer,Engineer,115000,USD,115000,US,100,US,S,1,0.022068351938375457
2021,SE,3,Data Engineer,Engineer,150000,USD,150000,US,100,US,M,2,0.5262649507393687
2021,EN,1,Machine Learning Scientist,Scientist,225000,USD,225000,US,100,US,L,3,1.6066862338843542
2021,EN,1,Data Analyst,Analyst,90000,USD,90000,US,100,US,S,1,-0.3380720757766197
2021,MI,2,Data Engineer,Engineer,200000,USD,200000,US,100,US,L,3,1.246545806169359
2021,SE,3,Principal Data Engineer,Engineer,200000,USD,200000,US,100,US,M,2,1.246545806169359
2021,EN,1,Data Analyst,Analyst,50000,USD,50000,US,100,US,M,2,-0.914296760120612
2021,MI,2,Principal Data Scientist,Scientist,151000,USD,151000,US,100,US,L,3,0.5406705678479685
2021,SE,3,Machine Learning Scientist,Scientist,120000,USD,120000,US,50,US,S,1,0.09409643748137449
2021,MI,2,Applied Machine Learning Scientist,Scientist,38400,USD,38400,VN,100,US,M,2,-1.0814019185803698
2021,EN,1,Data Scientist,Scientist,100000,USD,100000,US,0,US,S,1,-0.19401590469062163
2021,MI,2,Data Analyst,Analyst,90000,USD,90000,US,100,US,M,2,-0.3380720757766197
2021,SE,3,Principal Data Scientist,Scientist,220000,USD,220000,US,0,US,L,3,1.534658148341355
2021,EN,1,Data Scientist,Scientist,80000,USD,80000,US,100,US,M,2,-0.4821282468626178
2021,MI,2,Data Analyst,Analyst,135000,USD,135000,US,100,US,L,3,0.3101806941103716
2021,SE,3,Data Science Manager,Manager/Executive,240000,USD,240000,US,0,US,L,3,1.8227704905133513
2021,SE,3,Data Engineering Manager,Manager/Executive,150000,USD,150000,US,0,US,L,3,0.5262649507393687
2021,MI,2,Data Scientist,Scientist,82500,USD,82500,US,100,US,S,1,-0.44611420409111824
